,Name,Land,Form,Träger,Promotions_recht,Gründung,Stand
0,FH Aachen,NW,FH,staatlich,nein,1971,2016/17 (WS)
1,RWTH Aachen,NW,Uni,staatlich,ja,1870,2019/20 (WS)[4]
2,Hochschule Aalen,BW,FH,staatlich,nein,1962,2012/13 (WS)
3,Hochschule Albstadt-Sigmaringen,BW,FH,staatlich,nein,1971,2012/13 (WS)
4,Alanus Hochschule für Kunst und Gesellschaft (Alfter),NW,FH,privat,ja,2002,2012/13 (WS)
5,"Fachhochschule für Verwaltung und Dienstleistung (Altenholz, Reinfeld)",SH,FH,staatlich,nein,1975,2012/13 (WS)
6,Ostbayerische Technische Hochschule Amberg-Weiden,BY,FH,staatlich,nein,1994,2015/16 (WS)
7,Hochschule für angewandte Wissenschaften Ansbach,BY,FH,staatlich,nein,1996,2015/16 (WS)
8,Technische Hochschule Aschaffenburg,BY,FH,staatlich,nein,1995,2012/13 (WS)
9,Fachhochschule Polizei Sachsen-Anhalt (Aschersleben),ST,FH,staatlich,nein,1997,2012/13 (WS)
10,Hochschule für angewandte Wissenschaften Augsburg,BY,FH,staatlich,nein,1971,2015/16 (WS)
11,Universität Augsburg,BY,Uni,staatlich,ja,1970,2018/19 (WS)
12,Hochschule der Bayerischen Wirtschaft (München),BY,FH,privat,nein,2012,2015/16 (WS)
13,Hochschule der Deutschen Gesetzlichen Unfallversicherung (Bad Hersfeld),HE,FH,privat,nein,1996,2012/13 (WS)
14,accadis Hochschule Bad Homburg,HE,FH,privat,nein,1990,2012/13 (WS)
15,IUBH Internationale Hochschule (Erfurt),TH,FH,privat,nein,1998,2018/19 (WS)
16,Fachhochschule für Rechtspflege Nordrhein-Westfalen (Bad Münstereifel),NW,FH,staatlich,nein,1976,2012/13 (WS)
17,Diploma Hochschule (Bad Sooden-Allendorf),HE,FH,privat,nein,1994,2012/13 (WS)
18,Otto-Friedrich-Universität Bamberg,BY,Uni,staatlich,ja,1647/1972,2018/19 (WS)
19,Hochschule für evangelische Kirchenmusik Bayreuth,BY,FH,konfessionell,nein,2000,2012/13 (WS)
20,Universität Bayreuth,BY,Uni,staatlich,ja,1975,2016/17 (WS)
21,Akkon-Hochschule für Humanwissenschaften,BE,FH,privat,nein,2009,2019/20 (WS)
22,Alice Salomon Hochschule Berlin,BE,FH,staatlich,nein,1908,2012/13 (WS)
